itemid,itemse,itemex,itemde,itemun,itemnm,itemag,itemda,itemwk,itemgr
"sw1AtmDOMP","x"," ",    1.00000    ,"(-)                 ","load option 0=all, 1=top, 2=bottom segments       ","volume    ","volume    "," ","                              "
"sw2AtmDOMP","x"," ",    0.00000    ,"(-)                 ","maximise withdrawel to mass 0=no, 1=yes           ","volume    ","volume    "," ","                              "
"dAtmDepOMP","x"," ",   -999.000    ,"(gOMP/m3/d)         ","atmospheric deposition flux OMP                   ","volume    ","volume    "," ","                              "
"fDfwastOMP","x"," ",   -999.000    ,"(gOMP/m2/d)         ","zeroth-order flux OMP                             ","volume    ","volume    "," ","                              "
"sw1DfwaOMP","x"," ",    1.00000    ,"(-)                 ","load option 0=all, 1=top, 2=bottom segments       ","volume    ","volume    "," ","                              "
"sw2DfwaOMP","x"," ",    0.00000    ,"(-)                 ","maximise withdrawel to mass 0=no, 1=yes           ","volume    ","volume    "," ","                              "
"dDfwastOMP","x"," ",   -999.000    ,"(gOMP/m3/d)         ","diffusive waste flux OMP                          ","volume    ","volume    "," ","                              "
"VxUpwOMP  "," ","x",   -999.000    ,"(m/s)               ","total upward transport in sediment                ","volume    ","volume    "," ","                              "
"VxDownOMP "," ","x",   -999.000    ,"(m/s)               ","total downward transport in sediment              ","volume    ","volume    "," ","                              "
"NoStruc   ","x"," ",    0.00000    ,"(-)                 ","number of structures                              ","volume    ","volume    "," ","                              "
"SWdrear   ","x"," ",    0.00000    ,"(-)                 ","switch for gameson (0) or hybride (1)             ","volume    ","volume    "," ","                              "
"DischSt1  ","x"," ",    0.00000    ,"(m3/s)              ","discharge at structure 1                          ","volume    ","volume    "," ","                              "
"WtLvLSt1  ","x"," ",    0.00000    ,"(m)                 ","water level left of structure 1                   ","volume    ","volume    "," ","                              "
"WtLvRSt1  ","x"," ",    0.00000    ,"(m)                 ","water level right of structure 1                  ","volume    ","volume    "," ","                              "
"SegmLSt1  ","x"," ",    0.00000    ,"(-)                 ","segment number left of structure 1                ","volume    ","volume    "," ","                              "
"SegmRSt1  ","x"," ",    0.00000    ,"(-)                 ","segment number right of structure 1               ","volume    ","volume    "," ","                              "
"CoefbSt1  ","x"," ",    0.00000    ,"(-)                 ","dam reaeration coefficient of structure 1         ","volume    ","volume    "," ","                              "
"WidthSt1  ","x"," ",    0.00000    ,"(m)                 ","width of structure 1                              ","volume    ","volume    "," ","                              "
"DischSt2  ","x"," ",    0.00000    ,"(m3/s)              ","discharge at structure 2                          ","volume    ","volume    "," ","                              "
"WtLvLSt2  ","x"," ",    0.00000    ,"(m)                 ","water level left of structure 2                   ","volume    ","volume    "," ","                              "
"WtLvRSt2  ","x"," ",    0.00000    ,"(m)                 ","water level right of structure 2                  ","volume    ","volume    "," ","                              "
"SegmLSt2  ","x"," ",    0.00000    ,"(-)                 ","segment number left of structure 2                ","volume    ","volume    "," ","                              "
"SegmRSt2  ","x"," ",    0.00000    ,"(-)                 ","segment number right of structure 2               ","volume    ","volume    "," ","                              "
"CoefbSt2  ","x"," ",    0.00000    ,"(-)                 ","dam reaeration coefficient of structure 2         ","volume    ","volume    "," ","                              "
"WidthSt2  ","x"," ",    0.00000    ,"(m)                 ","width of structure 2                              ","volume    ","volume    "," ","                              "
"DischSt3  ","x"," ",    0.00000    ,"(m3/s)              ","discharge at structure 3                          ","volume    ","volume    "," ","                              "
"WtLvLSt3  ","x"," ",    0.00000    ,"(m)                 ","water level left of structure 3                   ","volume    ","volume    "," ","                              "
"WtLvRSt3  ","x"," ",    0.00000    ,"(m)                 ","water level right of structure 3                  ","volume    ","volume    "," ","                              "
"SegmLSt3  ","x"," ",    0.00000    ,"(-)                 ","segment number left of structure 3                ","volume    ","volume    "," ","                              "
"SegmRSt3  ","x"," ",    0.00000    ,"(-)                 ","segment number right of structure 3               ","volume    ","volume    "," ","                              "
"CoefbSt3  ","x"," ",    0.00000    ,"(-)                 ","dam reaeration coefficient of structure 3         ","volume    ","volume    "," ","                              "
"WidthSt3  ","x"," ",    0.00000    ,"(m)                 ","width of structure 3                              ","volume    ","volume    "," ","                              "
"DischSt4  ","x"," ",    0.00000    ,"(m3/s)              ","discharge at structure 4                          ","volume    ","volume    "," ","                              "
"WtLvLSt4  ","x"," ",    0.00000    ,"(m)                 ","water level left of structure 4                   ","volume    ","volume    "," ","                              "
"WtLvRSt4  ","x"," ",    0.00000    ,"(m)                 ","water level right of structure 4                  ","volume    ","volume    "," ","                              "
"SegmLSt4  ","x"," ",    0.00000    ,"(-)                 ","segment number left of structure 4                ","volume    ","volume    "," ","                              "
"SegmRSt4  ","x"," ",    0.00000    ,"(-)                 ","segment number right of structure 4               ","volume    ","volume    "," ","                              "
"CoefbSt4  ","x"," ",    0.00000    ,"(-)                 ","dam reaeration coefficient of structure 4         ","volume    ","volume    "," ","                              "
"WidthSt4  ","x"," ",    0.00000    ,"(m)                 ","width of structure 4                              ","volume    ","volume    "," ","                              "
"DischSt5  ","x"," ",    0.00000    ,"(m3/s)              ","discharge at structure 5                          ","volume    ","volume    "," ","                              "
"WtLvLSt5  ","x"," ",    0.00000    ,"(m)                 ","water level left of structure 5                   ","volume    ","volume    "," ","                              "
"WtLvRSt5  ","x"," ",    0.00000    ,"(m)                 ","water level right of structure 5                  ","volume    ","volume    "," ","                              "
"SegmLSt5  ","x"," ",    0.00000    ,"(-)                 ","segment number left of structure 5                ","volume    ","volume    "," ","                              "
"SegmRSt5  ","x"," ",    0.00000    ,"(-)                 ","segment number right of structure 5               ","volume    ","volume    "," ","                              "
"CoefbSt5  ","x"," ",    0.00000    ,"(-)                 ","dam reaeration coefficient of structure 5         ","volume    ","volume    "," ","                              "
"WidthSt5  ","x"," ",    0.00000    ,"(m)                 ","width of structure 5                              ","volume    ","volume    "," ","                              "
"DischSt6  ","x"," ",    0.00000    ,"(m3/s)              ","discharge at structure 6                          ","volume    ","volume    "," ","                              "
"WtLvLSt6  ","x"," ",    0.00000    ,"(m)                 ","water level left of structure 6                   ","volume    ","volume    "," ","                              "
"WtLvRSt6  ","x"," ",    0.00000    ,"(m)                 ","water level right of structure 6                  ","volume    ","volume    "," ","                              "
"SegmLSt6  ","x"," ",    0.00000    ,"(-)                 ","segment number left of structure 6                ","volume    ","volume    "," ","                              "
"SegmRSt6  ","x"," ",    0.00000    ,"(-)                 ","segment number right of structure 6               ","volume    ","volume    "," ","                              "
"CoefbSt6  ","x"," ",    0.00000    ,"(-)                 ","dam reaeration coefficient of structure 6         ","volume    ","volume    "," ","                              "
"WidthSt6  ","x"," ",    0.00000    ,"(m)                 ","width of structure 6                              ","volume    ","volume    "," ","                              "
"DischSt7  ","x"," ",    0.00000    ,"(m3/s)              ","discharge at structure 7                          ","volume    ","volume    "," ","                              "
"WtLvLSt7  ","x"," ",    0.00000    ,"(m)                 ","water level left of structure 7                   ","volume    ","volume    "," ","                              "
